id,name,artist,explicit,popularity,danceability,energy,loudness,speechiness,duration_ms,duena,carita
47gmoUrZV3w20JAnQOZMcO,Blue Suede Shoes,Elvis Presley,False,68,0.557,0.66,-7.706,0.056,119200,delfi,
3i9UVldZOE0aD0JnyfAZZ0,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,False,71,0.448,0.603,-7.176,0.064,221307,delfi,
5wxurz8J6YlyQRNnGN8zXS,Nervous,Shawn Mendes,False,61,0.841,0.623,-6.76,0.0776,164147,delfi,https://w7.pngwing.com/pngs/593/520/png-transparent-album-cover-shawn-mendes-nervous-music-picsart-rose-hair-accessory-album-flower-thumbnail.png
2IssBpPtHcViZL5vYQNHhA,Like To Be You (feat. Julia Michaels),Shawn Mendes,False,61,0.737,0.451,-9.405,0.229,159400,delfi,https://w7.pngwing.com/pngs/593/520/png-transparent-album-cover-shawn-mendes-nervous-music-picsart-rose-hair-accessory-album-flower-thumbnail.png
4BH9zDv1Ys6kw0j3lU1hTx,Particular Taste,Shawn Mendes,False,55,0.968,0.352,-7.122,0.121,175573,delfi,https://w7.pngwing.com/pngs/593/520/png-transparent-album-cover-shawn-mendes-nervous-music-picsart-rose-hair-accessory-album-flower-thumbnail.png
3XeqINnregzwBJNg7RyyH4,Why,Shawn Mendes,False,58,0.689,0.416,-9.247,0.0494,238173,delfi,https://w7.pngwing.com/pngs/593/520/png-transparent-album-cover-shawn-mendes-nervous-music-picsart-rose-hair-accessory-album-flower-thumbnail.png
1RRZSm4akqNyMOsPUhw4cb,Because I Had You,Shawn Mendes,False,61,0.559,0.337,-9.751,0.404,142480,delfi,https://w7.pngwing.com/pngs/593/520/png-transparent-album-cover-shawn-mendes-nervous-music-picsart-rose-hair-accessory-album-flower-thumbnail.png
6D8FZWtCQRtQUVT3mpjrZs,Queen,Shawn Mendes,False,52,0.878,0.688,-7.254,0.11,204693,delfi,https://w7.pngwing.com/pngs/593/520/png-transparent-album-cover-shawn-mendes-nervous-music-picsart-rose-hair-accessory-album-flower-thumbnail.png
6nat4Z7iRKWVk1qngQqI0Q,Perfectly Wrong,Shawn Mendes,False,65,0.361,0.311,-11.748,0.0369,212773,delfi,https://w7.pngwing.com/pngs/593/520/png-transparent-album-cover-shawn-mendes-nervous-music-picsart-rose-hair-accessory-album-flower-thumbnail.png
5gW3kI83886nVV9apaFLWu,Mutual,Shawn Mendes,False,59,0.919,0.478,-6.697,0.156,148360,delfi,https://w7.pngwing.com/pngs/593/520/png-transparent-album-cover-shawn-mendes-nervous-music-picsart-rose-hair-accessory-album-flower-thumbnail.png
4uzUuDjoufcBXYZ27CsLIF,Roses,Shawn Mendes,False,59,0.611,0.489,-6.771,0.0343,232200,delfi,https://w7.pngwing.com/pngs/593/520/png-transparent-album-cover-shawn-mendes-nervous-music-picsart-rose-hair-accessory-album-flower-thumbnail.png
7msCKNrI0vZw9H4MIgLnAh,Don't Be A Fool,Shawn Mendes,False,57,0.473,0.339,-6.039,0.0364,215773,delfi,https://w7.pngwing.com/pngs/593/520/png-transparent-album-cover-shawn-mendes-nervous-music-picsart-rose-hair-accessory-album-flower-thumbnail.png
0vW819CC45qQzi1lM9PaAg,This Is What It Takes,Shawn Mendes,False,49,0.483,0.324,-6.703,0.0317,230440,delfi,https://w7.pngwing.com/pngs/593/520/png-transparent-album-cover-shawn-mendes-nervous-music-picsart-rose-hair-accessory-album-flower-thumbnail.png
3ilt7lMNflb49pEDpcZPAa,Aftertaste,Shawn Mendes,False,52,0.638,0.509,-5.926,0.0346,169573,delfi,https://w7.pngwing.com/pngs/593/520/png-transparent-album-cover-shawn-mendes-nervous-music-picsart-rose-hair-accessory-album-flower-thumbnail.png
6eAnWf8yT7GLnUvaT0oyKN,Strings,Shawn Mendes,False,46,0.659,0.728,-5.007,0.0541,190773,delfi,https://w7.pngwing.com/pngs/593/520/png-transparent-album-cover-shawn-mendes-nervous-music-picsart-rose-hair-accessory-album-flower-thumbnail.png
1oiwANJpaXZxYkwvLWor4f,I Don't Even Know Your Name,Shawn Mendes,False,46,0.626,0.524,-5.944,0.0422,180400,delfi,https://w7.pngwing.com/pngs/593/520/png-transparent-album-cover-shawn-mendes-nervous-music-picsart-rose-hair-accessory-album-flower-thumbnail.png
4Iz171BOalhbOxdlodJSJD,Kid In Love,Shawn Mendes,False,49,0.529,0.598,-7.085,0.0403,225827,delfi,https://w7.pngwing.com/pngs/593/520/png-transparent-album-cover-shawn-mendes-nervous-music-picsart-rose-hair-accessory-album-flower-thumbnail.png
14kYOiFVPb7E7NfFbqhdln,goodnight n go,Ariana Grande,True,71,0.708,0.454,-7.07,0.0395,189507,delfi,https://www.pngarts.com/files/5/Ariana-Grande-PNG-Image-Background.png
3Mi8mCnvcBPdiPgmHYWEow,The Weight,Shawn Mendes,False,52,0.476,0.496,-6.948,0.0368,183467,delfi,https://w7.pngwing.com/pngs/593/520/png-transparent-album-cover-shawn-mendes-nervous-music-picsart-rose-hair-accessory-album-flower-thumbnail.png
6qmvAJSUfVGMubvI2awW7p,uh oh,Tate McRae,True,72,0.625,0.604,-7.415,0.339,169722,delfi,
7l97ElWmIdVHWUaOeeU5ZC,that way,Tate McRae,False,79,0.453,0.383,-11.015,0.163,175027,delfi,
1bXm6XU3SYSqQGLTRhUSfm,hate myself,Tate McRae,True,57,0.47,0.279,-8.179,0.206,173307,delfi,
4UbItCyP9q7MvuVogbDCgC,boy x,Tate McRae,False,56,0.439,0.325,-8.554,0.0413,226787,delfi,
03zuGqxMwUFFmCwusq0WKE,feel like shit,Tate McRae,True,69,0.519,0.383,-7.174,0.0495,203480,delfi,
2RwpoqhsYOZSGsF69KqjwP,i still say goodnight,Tate McRae,True,54,0.375,0.179,-10.48,0.0312,188533,delfi,
32FhTAAjKZaBein150o3Px,because i liked a boy,Sabrina Carpenter,True,73,0.386,0.592,-7.299,0.374,196458,delfi,
2qLyo5FeWquE7HBUbcVnEy,emails i can’t send,Sabrina Carpenter,True,71,0.515,0.387,-10.614,0.192,104408,delfi,
6Alp15t6urC4opjJiyOqZu,Vicious,Sabrina Carpenter,True,68,0.721,0.457,-6.916,0.159,149891,delfi,
1pp48yqPWZIsaDSIBrVe0r,Bad for Business,Sabrina Carpenter,False,57,0.596,0.526,-8.663,0.0378,188338,delfi,
5rKMN0bKdqcGWo1iLvv30Y,Best Friend Breakup,Lauren Spencer Smith,False,70,0.467,0.573,-5.009,0.23,141061,delfi,
5E1A7q6QL34ex6B3MQa91s,28,Lauren Spencer Smith,False,60,0.633,0.444,-7.68,0.108,164618,delfi,
23oYG6HAbahMQEtjk0M7GK,Narcissist,Lauren Spencer Smith,True,71,0.58,0.485,-5.438,0.0312,172878,delfi,
5XpiSrouNEgVc4Z301wDoB,Used to Be Mine (Live),Lauren Spencer Smith,False,43,0.447,0.303,-7.764,0.043,226411,delfi,
1WE3LxdrjOvJrLsaCDQ4gg,Don't You Remember (Live),Lauren Spencer Smith,False,39,0.295,0.393,-6.027,0.034,230517,delfi,
6q8L2GUvO1XBeaZBrVLQir,Elastic Heart,Lauren Spencer Smith,False,52,0.396,0.229,-9.176,0.0319,270641,delfi,
